Time,EVID,CSOID,ChID,Power_flow,SoC,Money,Temp,SoH
6,1,1,1,5.600000000000001,0.4,0.9560880000000002,15.5,99.49058878329365
7,1,1,1,7.2,0.54,1.229256,15.5,99.49058878329365
10,1,1,1,7.2,0.72,1.229256,17.0,99.49058878329365
14,1,1,1,-7.2,0.9,-1.8473040000000003,22.0,99.49058878329365
15,1,1,1,-7.2,0.72,-1.8473040000000003,21.0,99.49058878329365
16,1,1,1,-7.2,0.54,-1.8473040000000003,21.0,99.49058878329365
17,1,1,1,-7.2,0.36000000000000004,-1.8473040000000003,19.5,99.49058878329365
19,1,1,1,2.3999999999999995,0.18000000000000005,0.4097519999999999,18.0,99.49058878329365
22,1,1,1,7.2,0.24000000000000005,1.229256,15.5,99.49058878329365
23,1,1,1,7.2,0.42000000000000004,1.229256,15.5,99.49058878329365
3,2,1,2,5.600000000000001,0.4,0.9560880000000002,16.0,99.25841312738794
6,2,1,2,7.2,0.54,1.229256,15.5,99.25841312738794
9,2,1,2,7.2,0.72,1.229256,15.5,99.25841312738794
14,2,1,2,-7.2,0.9,-1.8473040000000003,22.0,99.25841312738794
15,2,1,2,-7.2,0.72,-1.8473040000000003,21.0,99.25841312738794
16,2,1,2,-7.2,0.54,-1.8473040000000003,21.0,99.25841312738794
17,2,1,2,-7.2,0.36000000000000004,-1.8473040000000003,19.5,99.25841312738794
19,2,1,2,2.3999999999999995,0.18000000000000005,0.4097519999999999,18.0,99.25841312738794
21,2,1,2,7.2,0.24000000000000005,1.229256,16.5,99.25841312738794
23,2,1,2,7.2,0.42000000000000004,1.229256,15.5,99.25841312738794
3,3,1,3,7.2,0.4,1.229256,16.0,99.08282623949891
6,3,1,3,7.2,0.58,1.229256,15.5,99.08282623949891
10,3,1,3,2.3999999999999986,0.76,0.4097519999999997,17.0,99.08282623949891
14,3,1,3,-7.2,0.82,-1.8473040000000003,22.0,99.08282623949891
15,3,1,3,-7.2,0.6399999999999999,-1.8473040000000003,21.0,99.08282623949891
